Job ID: 9550842
Node:   g8
GPU:    0
Run:    adapter_base_rlrop
Extra:  none
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/channel_adapter/output/adapter_base_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_base.pth
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: CrossEntropyLoss
  Optimizer: backbone LR=1e-05, adapter LR=0.0001, proj_head LR=0.0003
  Epoch 129/150 | loss: 0.0757 | val AUC: 0.6293 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 130/150 | loss: 0.1159 | val AUC: 0.6034 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 131/150 | loss: 0.1348 | val AUC: 0.6207 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 132/150 | loss: 0.2699 | val AUC: 0.6103 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 133/150 | loss: 0.1671 | val AUC: 0.6483 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 134/150 | loss: 0.1196 | val AUC: 0.5966 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 135/150 | loss: 0.0686 | val AUC: 0.6224 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 136/150 | loss: 0.1944 | val AUC: 0.6259 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 137/150 | loss: 0.1342 | val AUC: 0.5948 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 138/150 | loss: 0.1880 | val AUC: 0.6207 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  Epoch 139/150 | loss: 0.1541 | val AUC: 0.6172 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  LR reduced: 1.5e-07 → 1.0e-07  (patience reset)
  Epoch 140/150 | loss: 0.1979 | val AUC: 0.6052 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 141/150 | loss: 0.1417 | val AUC: 0.6293 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 142/150 | loss: 0.1692 | val AUC: 0.6155 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 143/150 | loss: 0.0681 | val AUC: 0.6034 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 144/150 | loss: 0.1554 | val AUC: 0.5966 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 145/150 | loss: 0.1207 | val AUC: 0.6172 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 146/150 | loss: 0.1260 | val AUC: 0.6224 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
  Epoch 147/150 | loss: 0.1427 | val AUC: 0.6138 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.0e-07
