Job ID: 9550841
Node:   g7
GPU:    0
Run:    focal_deep_rlrop
Extra:  --focal-gamma 2.0 --head-depth 2
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/weight_tiling/output/focal_deep_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_small.pth
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: FocalLoss(gamma=2.0)
  Optimizer: backbone LR=1e-05, head(stem+proj) LR=0.0003
  Epoch 128/150 | loss: 0.0073 | val AUC: 0.7121 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 129/150 | loss: 0.0155 | val AUC: 0.7052 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 130/150 | loss: 0.0227 | val AUC: 0.7155 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 131/150 | loss: 0.0408 | val AUC: 0.7190 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 132/150 | loss: 0.0138 | val AUC: 0.7069 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 133/150 | loss: 0.0297 | val AUC: 0.7034 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 134/150 | loss: 0.0109 | val AUC: 0.7121 | LR bb=1.0e-07 hd=1.0e-07
  LR reduced: 1.5e-07 → 1.0e-07  (patience reset)
  Epoch 135/150 | loss: 0.0052 | val AUC: 0.7121 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 136/150 | loss: 0.0348 | val AUC: 0.7172 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 137/150 | loss: 0.0373 | val AUC: 0.7017 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 138/150 | loss: 0.0102 | val AUC: 0.6966 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 139/150 | loss: 0.0322 | val AUC: 0.7034 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 140/150 | loss: 0.1445 | val AUC: 0.7103 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 141/150 | loss: 0.0117 | val AUC: 0.7069 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 142/150 | loss: 0.0607 | val AUC: 0.7052 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 143/150 | loss: 0.0278 | val AUC: 0.7086 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 144/150 | loss: 0.0956 | val AUC: 0.7138 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 145/150 | loss: 0.0551 | val AUC: 0.7052 | LR bb=1.0e-07 hd=1.0e-07
  Epoch 146/150 | loss: 0.0398 | val AUC: 0.7000 | LR bb=1.0e-07 hd=1.0e-07
